# Simulated random data file for batch processing
# timestamp: 2022-04-06 13:43:27
# NJG
# ------------------------

"var_x","var_y"
0.925590327242389,0.704006553860381
0.0942354614380747,0.881623386405408
0.813472453970462,0.482125744223595
0.664835349423811,0.399294610600919
0.305550773162395,0.836932059144601
0.563561799703166,0.633070886600763
0.265933929244056,0.149479398271069
0.309169163694605,0.93550604279153
0.671807745704427,0.31388761033304
0.697875749785453,0.228556875139475
0.386539694154635,0.630900787655264
0.992425377713516,NA
0.914074004162103,0.0602423942182213
0.779672503937036,0.542804104974493
0.489643346983939,0.974703151965514
0.628199251368642,0.6970745397266
0.0607412026729435,0.0495450082235038
0.617713403888047,0.193342747166753
0.625771172577515,0.320937544340268
NA,0.84712035371922
0.665276016341522,0.927982769906521
0.444072662619874,0.997742729494348
0.231815090635791,0.615140852285549
0.106798650696874,0.884011021349579
0.553232262609527,0.660019054077566
0.775922334520146,0.784228324657306
0.375452650245279,0.0937360604293644
NA,0.497078973799944
0.210021500941366,0.960205963114277
0.488272754009813,0.455124943517148
0.417204755125567,0.280533901415765
0.131469656480476,0.356077013537288
0.775431792717427,NA
